coloration.key,variable,Label,Display.Order,Color,C,M,Y,K,R,G,B
Deployment,Dividends,Dividends,1,orange,0,0.397,0.986,0.141,219,132,3
Deployment,Acquisitions,Acquisitions,4,olive green,0.17,0,0.527,0.353,137,165,78
Deployment,Capital Expenditures,Capital Expenditures,5,purple,0.21,0.385,0,0.439,113,88,143
Deployment,Interest,Interest,7,red,0,0.588,0.606,0.333,170,70,67
Deployment,Debt Reduction,Debt Reduction,3,teal,0.629,0.131,0,0.314,65,152,175
Deployment,Share Buyback,Share Buyback,2,dark blue,0.587,0.317,0,0.345,69,114,167
Deployment,Taxes,Taxes,8,dark gray,0,0,0,0.498,128,128,128
Deployment,R&D Expenditure,R&D Expenditure,6,pink,0,0.3088,0.318,0.149,217,150,148
,,,,,,,,,,,
Regime,YOUNG,,1,red,0,0.588,0.606,0.333,170,70,67
Regime,CARTER\n pre-IFT,,2,olive green,0.17,0,0.527,0.353,137,165,78
Regime,Small Business\nTask Force,,3,blue,0.582,0.317,0,0.259,79,129,189
Regime,BBP2,,4,orange,0,0.397,0.986,0.141,219,132,3
Regime,CARTER\npre-BBP,,2,olive green,0.17,0,0.527,0.353,137,165,78
Regime,BBP1,,3,blue,0.582,0.317,0,0.259,79,129,189
Regime,CARTER\npre-2009 NDAA\nSec. 864 Impl.,,2,olive green,0.17,0,0.527,0.353,137,165,78
Regime, 2009 NDAA\nSec. 864 Impl.,,3,blue,0.582,0.317,0,0.259,79,129,189
Regime,CARTER pre-Task\n& Delivery Comp.,,2,olive green,0.17,0,0.527,0.353,137,165,78
Regime,Task &\nDelivery Comp.,,3,blue,0.582,0.317,0,0.259,79,129,189
Regime,Impl. of\n863-09,,4,orange,0,0.397,0.986,0.141,219,132,3
