figure number,figure title,legend name,form,order,which.file,append legend,section.variable,x.variable,x.axis.title,y.variable,y.axis.title,facet.variable,coloration.override.variable,percentage.y.axis.title,data file,file type,section.compare,subset.variable,subset.criteria,Layout Name,wide.section.variable,lookup.series.variable,subset.agency.variable,use.all.agencies
3.62,"Distribution of Number of Offers for Labeled Competed Contracts 
by Initial Contract Vehicle (2000-2013)",,boxplot,2,2,FALSE,Overall,UnmodifiedVehicle,Initial Contract Vehicle,UnmodifiedNumberOfOffersReceived,Initial Number of Offers Received,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount_IsCompeted.csv,SQL output,1,,,,,,Customer,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,scatterplot,2,2,FALSE,2,LogOfAction.Obligation,SumofObligatedAmount,LogOfContractBaseAndExercisedOptionsValue,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandalloptionsvalue,,scatterplot,2,2,FALSE,2,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,ContractObligatedAmount,LogOfContractBaseAndExercisedOptionsValue,Contractbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandalloptionsvalue,,scatterplot,2,2,FALSE,2,LogOfUnmodifiedContractBaseAndAllOptionsValue,ContractObligatedAmount,LogOfContractBaseAndAllOptionsValue,Contractbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandalloptionsvalue,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,LogOfContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,LogOfUnmodifiedContractObligatedAmount,SumofObligatedAmount,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,SumOfisChangeOrder,SumofObligatedAmount,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pUnmodifiedContractBaseAndExercised,SumofObligatedAmount,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pUnmodifiedContractBaseAndAll,SumofObligatedAmount,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pUnmodifiedContractObligated,SumofObligatedAmount,,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pChangeOrderVsUnmodifiedObligatedAmount,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pNewWorkVsUnmodifiedObligatedAmount,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pNewWorkVsContractObligatedAmount,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pChangeOrderVsContractObligatedAmount,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,,pChangeOrderVsUnmodifiedObligatedAmount,SumofObligatedAmount,,Number of Contracts,MaxOfisChangeOrder,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,,pNewWorkVsUnmodifiedObligatedAmount,SumofObligatedAmount,,Number of Contracts,MaxOfisNewWork,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,,pNewWorkVsContractObligatedAmount,SumofObligatedAmount,,Number of Contracts,MaxOfisNewWork,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,,pChangeOrderVsContractObligatedAmount,SumofObligatedAmount,,Number of Contracts,MaxOfisChangeOrder,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractObligatedAmount,SumofObligatedAmount,pChangeOrderVsUnmodifiedObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,pNewWorkVsUnmodifiedObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,pChangeOrderVsUnmodifiedObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractObligatedAmount,SumofObligatedAmount,pNewWorkVsContractObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractObligatedAmount,SumofObligatedAmount,pChangeOrderVsContractObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,pNewWorkVsContractObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,pChangeOrderVsContractObligatedAmount,SumOfObligatedAmount,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandalloptionsvalue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,ContractObligatedAmount,LogOfUnmodifiedContractObligatedAmount,Contractbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. UnmodifiedContractbaseandalloptionsvalue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,ContractObligatedAmount,LogOfAction.Obligation,Contractbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,SumofObligatedAmount,LogOfContractBaseAndExercisedOptionsValue,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndExercised,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndExercised,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pNewWorkVsContractBaseAndExercised,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pChangeOrderVsContractBaseAndExercised,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pNewWorkVsUnmodifiedBaseAndExercised,SumofObligatedAmount,,Number of Contracts,MaxOfisNewWork,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pChangeOrderVsUnmodifiedBaseAndExercised,SumofObligatedAmount,,Number of Contracts,MaxOfisChangeOrder,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pNewWorkVsContractBaseAndExercised,SumofObligatedAmount,,Number of Contracts,MaxOfisNewWork,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pChangeOrderVsContractBaseAndExercised,SumofObligatedAmount,,Number of Contracts,MaxOfisChangeOrder,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pNewWorkVsContractBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pChangeOrderVsContractBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pNewWorkVsContractBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. ContractBaseAndExercisedOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndExercisedOptionsValue,SumofObligatedAmount,pChangeOrderVsContractBaseAndExercised,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandalloptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndAllOptionsValue,SumofObligatedAmount,LogOfContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandexercisedoptionsvalue v. LogOfUnmodifiedContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndAllOptionsValue,SumofObligatedAmount,LogOfUnmodifiedContractObligatedAmount,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandalloptionsvalue v. LogOfUnmodifiedContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndAllOptionsValue,SumofObligatedAmount,LogOfContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractbaseandalloptionsvalue v. LogOfUnmodifiedContractObligatedAmount,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndAllOptionsValue,SumofObligatedAmount,LogOfAction.Obligation,SumOfbaseandexercisedoptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndAllOptionsValue,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndAll,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfUnmodifiedContractBaseAndAllOptionsValue,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndAllOptionsValue,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndAll,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndAllOptionsValue,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndAllOptionsValue,SumofObligatedAmount,pNewWorkVsContractBaseAndAllOptionsValue,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndAllOptionsValue,SumofObligatedAmount,pChangeOrderVsContractBaseAndAllOptionsValue,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndAllOptionsValue,SumofObligatedAmount,pNewWorkVsContractBaseAndAllOptionsValue,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractBaseAndAllOptionsvalue v. ContractBaseAndAllOptionsValue,,scatterplot,2,2,FALSE,,LogOfContractBaseAndAllOptionsValue,SumofObligatedAmount,pChangeOrderVsContractBaseAndAllOptionsValue,SumOfBaseAndAllOptionsvalue,StartFiscal_Year,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndAll,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,,StartFiscal_Year,SumofObligatedAmount,pNewWorkVsContractBaseAndAllOptionsValue,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,boxplot,2,2,FALSE,2,StartFiscal_Year,SumofObligatedAmount,pChangeOrderVsContractBaseAndAllOptionsValue,Number of Contracts,,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pNewWorkVsUnmodifiedBaseAndAll,SumofObligatedAmount,pNewWorkVsUnmodifiedBaseAndAll,Number of Contracts,MaxOfisNewWork,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pChangeOrderVsUnmodifiedBaseAndAll,SumofObligatedAmount,pChangeOrderVsUnmodifiedBaseAndAll,Number of Contracts,MaxOfisChangeOrder,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pNewWorkVsContractBaseAndAllOptionsValue,SumofObligatedAmount,pNewWorkVsContractBaseAndAllOptionsValue,Number of Contracts,MaxOfisNewWork,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,UnmodifiedContractObligatedAmount v. ContractObligatedAmount,,histogram,2,2,FALSE,2,pChangeOrderVsContractBaseAndAllOptionsValue,SumofObligatedAmount,pChangeOrderVsContractBaseAndAllOptionsValue,Number of Contracts,MaxOfisChangeOrder,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,IsBasePlusSample,TRUE,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,LogOfContractBaseAndExercisedOptionsValue,SumOfbaseandexercisedoptionsvalue,extentcompeted,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandalloptionsvalue,,scatterplot,2,2,FALSE,,LogOfAction.Obligation,SumofObligatedAmount,LogOfContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,extentcompeted,,,contract_CSIScontractID_sample_15000_SumofObligatedAmount.csv,SQL output,1,,,,,,Customer,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,
,Log of ObligatedAmount v. log of baseandalloptionsvalue by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,LogOfAction.Obligation,SumofObligatedAmount,LogOfContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,ObligatedAmount v. baseandalloptionsvalue by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,Action.Obligation,SumofObligatedAmount,ContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,Contract Terminations by ObligatedAmount by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,Action.Obligation,SumofObligatedAmount,IsTerminated,IsTerminated,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,Contract Closures by ObligatedAmount by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,Action.Obligation,SumofObligatedAmount,IsClosed,IsClosed,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,Number of Offers by ObligatedAmount by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,Action.Obligation,SumofObligatedAmount,UnmodifiedNumberOfOffersReceived,UnmodifiedNumberOfOffersReceived,,,,contract_CSIScontractID_sample_systemEquipmentCode_IsCompeted.csv,SQL output,1,,,,,,Customer,FALSE
,ObligatedAmount v. baseandalloptionsvalue by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,LogOfAction.Obligation,SumofObligatedAmount,ContractBaseAndAllOptionsValue,SumOfbaseandexercisedoptionsvalue,,,,contract_CSIScontractID_sample_systemEquipmentCode_gte_2007.csv,SQL output,1,,,,,,Customer,FALSE
,Contract Terminations by ObligatedAmount by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,LogOfAction.Obligation,SumofObligatedAmount,IsTerminated,IsTerminated,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,Contract Closures by ObligatedAmount by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,LogOfAction.Obligation,SumofObligatedAmount,IsClosed,IsClosed,,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,Number of Offers by ObligatedAmount by SystemEquipmentCode,,scatterplot,2,2,FALSE,systemequipmentshorttext,LogOfAction.Obligation,SumofObligatedAmount,UnmodifiedNumberOfOffersReceived,UnmodifiedNumberOfOffersReceived,,,,contract_CSIScontractID_sample_systemEquipmentCode_IsCompeted.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,histogram,2,2,FALSE,systemequipmentshorttext,IsTerminated,SumofObligatedAmount,,SumOfbaseandexercisedoptionsvalue,IsFixedPrice,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,histogram,2,2,FALSE,systemequipmentshorttext,MaxOfisChangeOrder,SumofObligatedAmount,,SumOfbaseandexercisedoptionsvalue,IsFixedPrice,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
,ContractObligatedAmount v. Contractbaseandexercisedoptionsvalue,,histogram,2,2,FALSE,systemequipmentshorttext,SumOfisChangeOrder,SumofObligatedAmount,,SumOfbaseandexercisedoptionsvalue,IsFixedPrice,,,contract_CSIScontractID_sample_systemEquipmentCode.csv,SQL output,1,,,,,,Customer,FALSE
