systemequipmentcode,Unseperated,systemequipmentcodeText,systemequipmentshorttext,SystemEquipmentIn2000Sample,SystemEquipmentIn2007Sample
1DNL,NULL,5 TON 8X8 XM656,5 TON 8X8 XM656,FALSE,FALSE
1DNM,NULL,DUMP 20T CE,DUMP 20T CE,FALSE,FALSE
1DNN,1DNN: ,FORK LIFT 6000 LB GE PT,FORK LIFT 6000 LB GE PT,FALSE,FALSE
1DNP,NULL,CARGO 1/2 TON 4X2 PICKUP,CARGO 1/2 TON 4X2 PICKUP,FALSE,FALSE
1DNQ,NULL,5 TON M-939,5 TON M-939,FALSE,FALSE
1DNR,NULL,CARGO 1 TON 4X4 M601,CARGO 1 TON 4X4 M601,FALSE,FALSE
1DNS,NULL,CARGO 1 1/4 TON 6X6 M561,CARGO 1 1/4 TON 6X6 M561,FALSE,FALSE
1DNT,NULL,CARGO 5 TON(TRUCK),CARGO 5 TON(TRUCK),FALSE,FALSE
1DNV,NULL,CARGO 8 TON 4X4 XM520(GOER),CARGO 8 TON 4X4 XM520(GOER),FALSE,FALSE
1DNY,NULL,CARGO 16 TON 4X4 XM437(GOER),CARGO 16 TON 4X4 XM437(GOER),FALSE,FALSE
1DPA,1DPA: ,FORK LIFT ATLAS,FORK LIFT ATLAS,FALSE,FALSE
1DPB,1DPB: ,FORK LIFT FRONT/SIDE LOADER 6K,FORK LIFT FRONT/SIDE LOADER 6K,FALSE,FALSE
1DPD,NULL,****** 1DPD,****** 1DPD,FALSE,FALSE
1DPG,1DPG: ,"TANK FUEL 5,000 GAL XM438","TANK FUEL 5,000 GAL XM438",FALSE,FALSE
1DPH,1DPH: ,"TRACTOR M915 50,000 LB","TRACTOR M915 50,000 LB",FALSE,FALSE
1DPI,1DPI: ,HVY EXPANDED MOB. TAC TRUCK,HVY EXPANDED MOB. TAC TRUCK,FALSE,FALSE
1DPJ,1DPJ: ,"TANK WATER 4,000 GAL M149","TANK WATER 4,000 GAL M149",FALSE,FALSE
1DPM,NULL,TRACTOR 10 TON 6X6 M123(TRK),TRACTOR 10 TON 6X6 M123(TRK),FALSE,FALSE
1DPN,NULL,TRACTOR 22 1/2 TON 8X8 XM746,TRACTOR 22 1/2 TON 8X8 XM746,FALSE,FALSE
1DPO,1DPO: ,TRACTOR M915A2/M916A LINE HAUL,TRACTOR M915A2/M916A LINE HAUL,FALSE,FALSE
1DPP,1DPP: ,"TRACTOR 32,000 GVW","TRACTOR 32,000 GVW",FALSE,FALSE
1DPQ,NULL,UTILITY 1 1/4 TN M561,UTILITY 1 1/4 TN M561,FALSE,FALSE
1DPS,NULL,UTILITY 1/4 TON 4X4 M151,UTILITY 1/4 TON 4X4 M151,FALSE,FALSE
1DPU,NULL,UTILITY 1 1/4 TON M715,UTILITY 1 1/4 TON M715,FALSE,FALSE
1DPV,NULL,FIRE FIGHTING 500 GPM,FIRE FIGHTING 500 GPM,FALSE,FALSE
1DPW,NULL,WRECKER 4X4 M553(GOER),WRECKER 4X4 M553(GOER),FALSE,FALSE
1DPX,NULL,UTILITY 1/4 TON 4X4 ABT,UTILITY 1/4 TON 4X4 ABT,FALSE,FALSE
1EBA,1EBA: ,7.62MM M60 MACHINE GUN,7.62MM M60 MACHINE GUN,FALSE,FALSE
1EBB,1EBB: ,50MM M85 MACHINE GUN,50MM M85 MACHINE GUN,FALSE,FALSE
1EBC,NULL,7.62MM M73 MACHINE GUN,7.62MM M73 MACHINE GUN,FALSE,FALSE
1EBE,NULL,7.62MM M134 AUTOMATIC,7.62MM M134 AUTOMATIC,FALSE,FALSE
1EBG,1EBG: ,50CAL M2 MACHINE GUN,50CAL M2 MACHINE GUN,FALSE,FALSE
1EBH,NULL,20MM GUN (HS),20MM GUN (HS),FALSE,FALSE
1EBI,1EBI: ,20MM XM167 TOWED,20MM XM167 TOWED,FALSE,FALSE
1EBL,NULL,20MM GUN XM163,20MM GUN XM163,FALSE,FALSE
1EBM,1EBM: ,20MM GUN (VULCAN) M61,20MM GUN (VULCAN) M61,FALSE,FALSE
1EBN,NULL,105MM GUN M68,105MM GUN M68,FALSE,FALSE
1EBO,1EBO: ,5.56MM CARBINE,5.56MM CARBINE,FALSE,FALSE
1EBP,NULL,175MM M-107 GUN SP,175MM M-107 GUN SP,FALSE,FALSE
1EBQ,NULL,70MM GUN (VIPER),70MM GUN (VIPER),FALSE,FALSE
1EBR,NULL,FAADS LOS-R (DIVAD),FAADS LOS-R (DIVAD),FALSE,FALSE
1EBS,NULL,7.62MM M-240 MACHINE GUN,7.62MM M-240 MACHINE GUN,FALSE,FALSE
1EBT,1EBT: ,5.56MM M249 SQD AUTOMATIC WPN,5.56MM M249 SQD AUTOMATIC WPN,FALSE,FALSE
1EBU,1EBU: ,25MM M242 AUTOMATIC GUN,25MM M242 AUTOMATIC GUN,FALSE,FALSE
1EBV,1EBV: ,9MM PERSONAL DEFENSE WEAPON,9MM PERSONAL DEFENSE WEAPON,FALSE,FALSE
1EBW,1EBW: ,MK 19-3 GRENADE MACHINE GUN,MK 19-3 GRENADE MACHINE GUN,FALSE,FALSE
1EDA,1EDA: ,M101A1 105MM LT TOWED HOW,M101A1 105MM LT TOWED HOW,FALSE,FALSE
1EDB,NULL,M114A2 155MM TOWED HOW,M114A2 155MM TOWED HOW,FALSE,FALSE
1EDC,NULL,M110 8'' SP HOWITZER,M110 8'' SP HOWITZER,FALSE,FALSE
1EDD,1EDD: ,AFAS (PRE-MS I) 155MM SP,AFAS (PRE-MS I) 155MM SP,FALSE,FALSE
1EDE,1EDE: ,M198 155MM TOWED HOW,M198 155MM TOWED HOW,FALSE,FALSE
1EDG,1EDG: ,M102 105MM LT TOWED HOW,M102 105MM LT TOWED HOW,FALSE,FALSE
1EDH,NULL,M109 155MM SP HOWITZER,M109 155MM SP HOWITZER,FALSE,FALSE
1EDK,1EDK: ,M109 155MM MED SP HOW,M109 155MM MED SP HOW,FALSE,FALSE
1EFA,1EFA: ,60MM,60MM,FALSE,FALSE
1EFB,1EFB: ,81MM M29 ON MOUNT M23,81MM M29 ON MOUNT M23,FALSE,FALSE
1EFC,1EFC: ,81MM SP MORTAR M125,81MM SP MORTAR M125,FALSE,FALSE
1EFD,1EFD: ,120MM,120MM,FALSE,FALSE
1EFE,1EFE: ,ARMORED MORTAR SYSTEM,ARMORED MORTAR SYSTEM,FALSE,FALSE
1EFF,1EFF: ,IMPROVED MORTAR BALLISTIC COMP,IMPROVED MORTAR BALLISTIC COMP,FALSE,FALSE
1EFH,1EFH: ,MORTAR FIRE CTRL SYSTEM,MORTAR FIRE CTRL SYSTEM,FALSE,FALSE
1EFI,NULL,****** 1EFI,****** 1EFI,FALSE,FALSE
1EHC,1EHC: ,M16 5.56 MM RIFLE,M16 5.56 MM RIFLE,FALSE,FALSE
1EHG,NULL,M14 7.62 MM RIFLE,M14 7.62 MM RIFLE,FALSE,FALSE
1FAF,NULL,ROCKEYE,ROCKEYE,FALSE,FALSE
1FAI,NULL,M-82 BOMB GP,M-82 BOMB GP,FALSE,FALSE
1FAS,NULL,MK-84 GENERAL PURPOSE,MK-84 GENERAL PURPOSE,FALSE,FALSE
1FAT,NULL,BDW 33/B PRACTICE BOMB,BDW 33/B PRACTICE BOMB,FALSE,FALSE
1FBB,NULL,30 CAL BALL,30 CAL BALL,FALSE,FALSE
1FBC,NULL,30 CAL M1909 BLANK,30 CAL M1909 BLANK,FALSE,FALSE
1FBD,NULL,45 CAL M1911 BALL,45 CAL M1911 BALL,FALSE,FALSE
1FBE,NULL,"4.2"" M329/XM502 HE CARTRIDGE","4.2"" M329/XM502 HE CARTRIDGE",FALSE,FALSE
1FBM,1FBM: ,7.62MM ALL TY EXCEPT BLANK,7.62MM ALL TY EXCEPT BLANK,FALSE,FALSE
1FBT,1FBT: ,20MM AMMUNITION ALL TYPES,20MM AMMUNITION ALL TYPES,FALSE,FALSE
1FCJ,NULL,81MM M374 HE CARTRIDGE,81MM M374 HE CARTRIDGE,FALSE,FALSE
1FCM,NULL,81MM M375 SMOKE WP CARTRIDGE,81MM M375 SMOKE WP CARTRIDGE,FALSE,FALSE
1FCN,1FCN: ,40MM AMMUNITION ALL TYPES,40MM AMMUNITION ALL TYPES,FALSE,FALSE
1FDV,NULL,****** 1FDV,****** 1FDV,FALSE,FALSE
1FEG,NULL,38 CAL ALL TYPES,38 CAL ALL TYPES,FALSE,FALSE
1FET,NULL,60MM HE XM720,60MM HE XM720,FALSE,FALSE
1FEU,NULL,60MM ILLUM LWCMS XM721,60MM ILLUM LWCMS XM721,FALSE,FALSE
1FEV,NULL,"60MM SMK, WP, LWCMS XM722","60MM SMK, WP, LWCMS XM722",FALSE,FALSE
1FEX,NULL,81MM SMOKE XM819,81MM SMOKE XM819,FALSE,FALSE
1FFA,1FFA: ,120MM TANK AMMUNITION,120MM TANK AMMUNITION,FALSE,FALSE
1FFB,1FFB: ,5.56MM AMMUNITION ALL TYPES,5.56MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFE,1FFE: ,9MM AMMUNITION ALL TYPES,9MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFG,1FFG: ,25MM AMMUNITION ALL TYPES,25MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFI,1FFI: ,CALIBER .50 AMMO ALL TYPES,CALIBER .50 AMMO ALL TYPES,FALSE,FALSE
1FFJ,1FFJ: ,60MM AMMUNITION ALL TYPES,60MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFL,1FFL: ,81MM AMMUNITION ALL TYPES,81MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFN,1FFN: ,105MM TANK AMMO ALL TYPES,105MM TANK AMMO ALL TYPES,FALSE,FALSE
1FFO,1FFO: ,120MM AMMUNITION ALL TYPES,120MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFP,NULL,120MM CTG TANK,120MM CTG TANK,FALSE,FALSE
1FFQ,1FFQ: ,30MM AMMUNITION ALL TYPES,30MM AMMUNITION ALL TYPES,FALSE,FALSE
1FFS,1FFS: ,105MM ART AMMUNITION ALL TYPES,105MM ART AMMUNITION ALL TYPES,FALSE,FALSE
1FGD,NULL,155MM M4 WHITE BAG,155MM M4 WHITE BAG,FALSE,FALSE
1FGR,NULL,8 INCH HE,8 INCH HE,FALSE,FALSE
1FJE,NULL,CBU-3 DISPENSER + BOMB,CBU-3 DISPENSER + BOMB,FALSE,FALSE
1FJJ,NULL,CBU-7 DISPENSER + BOMB,CBU-7 DISPENSER + BOMB,FALSE,FALSE
1FKE,NULL,M739,M739,FALSE,FALSE
1FKP,NULL,XM577 FUZE MT,XM577 FUZE MT,FALSE,FALSE
1FLA,NULL,HAND FRAG ALL TYPES,HAND FRAG ALL TYPES,FALSE,FALSE
1FLE,1FLE: ,HAND GRENADES ALL TYPES,HAND GRENADES ALL TYPES,FALSE,FALSE
1FLI,1FLI: ,VOLCANO MINES,VOLCANO MINES,FALSE,FALSE
1FMJ,NULL,M18 AP MINE,M18 AP MINE,FALSE,FALSE
1FMO,1FMO: ,DEMOLITION MUNITIONS ALL TYPES,DEMOLITION MUNITIONS ALL TYPES,FALSE,FALSE
1FMR,NULL,M128 MINE DISPENSER,M128 MINE DISPENSER,FALSE,FALSE
1FMX,1FMX: ,WIDE AREA MUNITION (WAM),WIDE AREA MUNITION (WAM),FALSE,FALSE
1FMY,NULL,MINE CLEARING LINE CHG MICLIC,MINE CLEARING LINE CHG MICLIC,FALSE,FALSE
1FNC,NULL,****** 1FNC,****** 1FNC,FALSE,FALSE
1FPA,NULL,"M650 E5 8""","M650 E5 8""",FALSE,FALSE
1FPC,NULL,M731/M692 155MM,M731/M692 155MM,FALSE,FALSE
1FPH,NULL,155MM HE,155MM HE,FALSE,FALSE
1FPM,NULL,M485 155MM ILLUM PROJ,M485 155MM ILLUM PROJ,FALSE,FALSE
1FPU,NULL,XM454 PROJ,XM454 PROJ,FALSE,FALSE
1FPV,NULL,M735 PROJECTILE,M735 PROJECTILE,FALSE,FALSE
1FPX,NULL,M718/M741 ISS MM AT,M718/M741 ISS MM AT,FALSE,FALSE
1FPY,NULL,M712 155MM,M712 155MM,FALSE,FALSE
1FPZ,NULL,M737 PROJECTILE,M737 PROJECTILE,FALSE,FALSE
1FQA,NULL,M483 155MM PROJECTILE,M483 155MM PROJECTILE,FALSE,FALSE
1FQB,NULL,"M509 8"" DPICM","M509 8"" DPICM",FALSE,FALSE
1FQD,NULL,M825 155MM SMOKE SCREENING,M825 155MM SMOKE SCREENING,FALSE,FALSE
1FQG,1FQG: ,155MM ARTY ALL (EXCLG SADARM),155MM ARTY ALL (EXCLG SADARM),FALSE,FALSE
1FVA,1FVA: ,AMMO COMPONENTS ALL TYPES,AMMO COMPONENTS ALL TYPES,FALSE,FALSE
1FVC,NULL,****** 1FVC,****** 1FVC,FALSE,FALSE
1FVD,1FVD: ,****** 1FVD,****** 1FVD,FALSE,FALSE
1FVE,1FVE: ,BUNKER DEFEATING MUNITION BDM,BUNKER DEFEATING MUNITION BDM,FALSE,FALSE
1FVG,1FVG: ,SIGNALS ALL TYPES,SIGNALS ALL TYPES,FALSE,FALSE
1FVH,1FVH: ,"SIMULATORS, ALL TYPES","SIMULATORS, ALL TYPES",FALSE,FALSE
1FVI,1FVI: ,MISCELLANEOUS AMMUNITION ITEMS,MISCELLANEOUS AMMUNITION ITEMS,FALSE,FALSE
1GAD,1GAD: ,CX-4566 A/G CABLE ASSEMBLY,CX-4566 A/G CABLE ASSEMBLY,FALSE,FALSE
1GAH,NULL,PP-1451/G ELEC POWER SUPPLY,PP-1451/G ELEC POWER SUPPLY,FALSE,FALSE
1GAI,NULL,AN/ASM-146 AIR COND SHELTER,AN/ASM-146 AIR COND SHELTER,FALSE,FALSE
1GAJ,NULL,AN/ASM-147 AIR COND SHELTER,AN/ASM-147 AIR COND SHELTER,FALSE,FALSE
1GAK,1GAK: ,AN/TSM-55 ELEC TEST EQUIP,AN/TSM-55 ELEC TEST EQUIP,FALSE,FALSE
1GAL,1GAL: ,MULTI SYS TEST EQUIP (MTE),MULTI SYS TEST EQUIP (MTE),FALSE,FALSE
1GAM,1GAM: ,LAND COMBAT SUPT SYS (LCS),LAND COMBAT SUPT SYS (LCS),FALSE,FALSE
1GAN,NULL,AN/USM-207 FREQ MEASUR SET,AN/USM-207 FREQ MEASUR SET,FALSE,FALSE
1GAR,NULL,AN/TSW-7,AN/TSW-7,FALSE,FALSE
1GAS,1GAS: ,AN/ALQ-133 QUICK LOOK,AN/ALQ-133 QUICK LOOK,FALSE,FALSE
1GAV,NULL,AN/TLQ-17 COUNTERMEASURES,AN/TLQ-17 COUNTERMEASURES,FALSE,FALSE
1GAW,NULL,AN/MSQ-103 TEAM PACK,AN/MSQ-103 TEAM PACK,FALSE,FALSE
1GAY,1GAY: ,AN/ASM-189 AIR COND SHELTER,AN/ASM-189 AIR COND SHELTER,FALSE,FALSE
1GAZ,NULL,AN/PAQ-1 TGT DESIGNATE LASER,AN/PAQ-1 TGT DESIGNATE LASER,FALSE,FALSE
1GBA,NULL,AN/GVS-5 RANGE FINDER LASER,AN/GVS-5 RANGE FINDER LASER,FALSE,FALSE
1GBC,NULL,DRAMA,DRAMA,FALSE,FALSE
1GBI,1GBI: ,M-551 RANGE FINDER LASER,M-551 RANGE FINDER LASER,FALSE,FALSE
1GBJ,NULL,AN/DVG-2 RANGE FINDER LASER,AN/DVG-2 RANGE FINDER LASER,FALSE,FALSE
1GBL,1GBL: ,AN/TSC-61 FLIGHT COORD CNTRL,AN/TSC-61 FLIGHT COORD CNTRL,FALSE,FALSE
1GBM,1GBM: ,AUTO TEST SUPPORT SYS,AUTO TEST SUPPORT SYS,FALSE,FALSE
1GBN,1GBN: ,AN/TSQ-73 AIR DEF MSL SYS,AN/TSQ-73 AIR DEF MSL SYS,FALSE,FALSE
1GBP,NULL,MX-9644 IMAGE INTENSIFIER,MX-9644 IMAGE INTENSIFIER,FALSE,FALSE
1GBQ,1GBQ: ,AN/TVQ-2 LASER DESIGNATOR,AN/TVQ-2 LASER DESIGNATOR,FALSE,FALSE
1GBR,1GBR: ,AN/MLQ-34 COUNTERMEASURES,AN/MLQ-34 COUNTERMEASURES,FALSE,FALSE
1GBS,NULL,AN/GYK-29,AN/GYK-29,FALSE,FALSE
1GBU,1GBU: ,AN/ALQ-136 COUNTERMEASURES,AN/ALQ-136 COUNTERMEASURES,FALSE,FALSE
1GBV,NULL,AN/ALQ-151 COUNTERMEASURES,AN/ALQ-151 COUNTERMEASURES,FALSE,FALSE
1GBW,1GBW: ,AN/TYC-39 MESSAGE SWITCH,AN/TYC-39 MESSAGE SWITCH,FALSE,FALSE
1GBX,1GBX: ,AN/TTC-39 CIRCUIT SWITCH,AN/TTC-39 CIRCUIT SWITCH,FALSE,FALSE
1GBY,NULL,AN/VVG-2 RANGE FINDER LASER,AN/VVG-2 RANGE FINDER LASER,FALSE,FALSE
1GCA,1GCA: ,AN/USM-410 TEST STATION,AN/USM-410 TEST STATION,FALSE,FALSE
1GCD,NULL,ERINT,ERINT,FALSE,FALSE
1GCF,1GCF: ,AN/ALQ-147 COUNTERMEASURES,AN/ALQ-147 COUNTERMEASURES,FALSE,FALSE
1GCG,1GCG: ,ALL SOURCE ANALYSIS SYS,ALL SOURCE ANALYSIS SYS,FALSE,FALSE
1GCH,1GCH: ,GUARDRAIL COMMON SENSOR,GUARDRAIL COMMON SENSOR,FALSE,FALSE
1GCI,1GCI: ,TEAMMATE,TEAMMATE,FALSE,FALSE
1GDA,NULL,AN/USC-3 COMMUNICATIONS SYS,AN/USC-3 COMMUNICATIONS SYS,FALSE,FALSE
1GDC,NULL,****** 1GDC,****** 1GDC,FALSE,FALSE
1GDE,1GDE: ,AN/TSQ-43 INTERPRETATION FAC,AN/TSQ-43 INTERPRETATION FAC,FALSE,FALSE
1GDF,1GDF: ,AN/VRC-67 RADIO TERMINAL,AN/VRC-67 RADIO TERMINAL,FALSE,FALSE
1GDG,NULL,TA-312/PT FIELD TELEPHONE,TA-312/PT FIELD TELEPHONE,FALSE,FALSE
1GDH,NULL,AN/TSQ-71 LND CNTRL CENTRAL,AN/TSQ-71 LND CNTRL CENTRAL,FALSE,FALSE
1GDL,1GDL: ,AN/TSC-75 COMM CENTRAL,AN/TSC-75 COMM CENTRAL,FALSE,FALSE
1GDM,1GDM: ,CHAALS,CHAALS,FALSE,FALSE
1GDP,NULL,AN/ASC-15 COMM CENTRAL,AN/ASC-15 COMM CENTRAL,FALSE,FALSE
1GDQ,NULL,AN/TSQ-84 (AACOMS),AN/TSQ-84 (AACOMS),FALSE,FALSE
1GDR,NULL,AN/UGC-74 FATT PAGE PRINTER,AN/UGC-74 FATT PAGE PRINTER,FALSE,FALSE
1GDW,1GDW: ,AN/TSQ-114,AN/TSQ-114,FALSE,FALSE
1GDX,NULL,AN/TSC-61 FLIGHT COORD CTRL,AN/TSC-61 FLIGHT COORD CTRL,FALSE,FALSE
1GDY,1GDY: ,AN/TTC-39(Z) SYSTEM,AN/TTC-39(Z) SYSTEM,FALSE,FALSE
1GDZ,1GDZ: ,NOE COMM EQUIP,NOE COMM EQUIP,FALSE,FALSE
1GER,NULL,TSEC/KY-57,TSEC/KY-57,FALSE,FALSE
1GFA,1GFA: ,AN/WSC-28 SAT COMM,AN/WSC-28 SAT COMM,FALSE,FALSE
1GFB,1GFB: ,AN/MSC-46 SAT COMM TERM,AN/MSC-46 SAT COMM TERM,FALSE,FALSE
1GFC,1GFC: ,ARMY DATA DISTRIBUTION SYS,ARMY DATA DISTRIBUTION SYS,FALSE,FALSE
1GFD,1GFD: ,AFATDS ADV FLD ART TAC DATA SY,AFATDS ADV FLD ART TAC DATA SY,FALSE,FALSE
1GFE,1GFE: ,CSSCS CBT SRV SPPT CTRL SYS,CSSCS CBT SRV SPPT CTRL SYS,FALSE,FALSE
1GFF,1GFF: ,SGL CHAN ANTI-JAM MANPORTABLE,SGL CHAN ANTI-JAM MANPORTABLE,FALSE,FALSE
1GFG,1GFG: ,SEC MOB ANTI-JAM REL TAC TERM,SEC MOB ANTI-JAM REL TAC TERM,FALSE,FALSE
1GFH,NULL,"SAT TERM, ADVANCED MPK UHF","SAT TERM, ADVANCED MPK UHF",FALSE,FALSE
1GFI,NULL,AN/PSG-2 MESSAGE DEVICE,AN/PSG-2 MESSAGE DEVICE,FALSE,FALSE
1GGF,1GGF: ,AN/GSG-10 (TACFIRE),AN/GSG-10 (TACFIRE),FALSE,FALSE
1GHA,1GHA: ,ARMY WWMCCS INFO SYS,ARMY WWMCCS INFO SYS,FALSE,FALSE
1GHB,1GHB: ,DGTL TOPOGRAPHIC SPPT SYS DTSS,DGTL TOPOGRAPHIC SPPT SYS DTSS,FALSE,FALSE
1GHC,1GHC: ,FIRE SPT ADA CONVERSION,FIRE SPT ADA CONVERSION,FALSE,FALSE
1GHE,1GHE: ,QCK RESP MULTI-CLR PTR QRMP,QCK RESP MULTI-CLR PTR QRMP,FALSE,FALSE
1GHF,1GHF: ,STD ARMY CND & CTRL SYS STACCS,STD ARMY CND & CTRL SYS STACCS,FALSE,FALSE
1GHH,1GHH: ,DEF SATELLITE COMMS SYS,DEF SATELLITE COMMS SYS,FALSE,FALSE
1GHI,NULL,ECHELON ABOVE CORPS COMMS,ECHELON ABOVE CORPS COMMS,FALSE,FALSE
1GHJ,1GHJ: ,GROUND COMMAND POST,GROUND COMMAND POST,FALSE,FALSE
1GHL,1GHL: ,AIRBORNE RECON LOW (ARL),AIRBORNE RECON LOW (ARL),FALSE,FALSE
1GHN,1GHN: ,FIREFINDER,FIREFINDER,FALSE,FALSE
1GHO,1GHO: ,GROUND BASED COMMON SENSOR,GROUND BASED COMMON SENSOR,FALSE,FALSE
1GHR,1GHR: ,LW MAN-TRANSP RADIO DIR FND SY,LW MAN-TRANSP RADIO DIR FND SY,FALSE,FALSE
1GHS,1GHS: ,METEOROLOGICAL MEASURING SYS,METEOROLOGICAL MEASURING SYS,FALSE,FALSE
1GHT,1GHT: ,SHORTSTOP,SHORTSTOP,FALSE,FALSE
1GHV,1GHV: ,TRACKWOLF HF SYSTEM,TRACKWOLF HF SYSTEM,FALSE,FALSE
1GIB,1GIB: ,JSTARS GND STATION MODULE,JSTARS GND STATION MODULE,FALSE,FALSE
1GIC,NULL,****** 1GIC,****** 1GIC,FALSE,FALSE
1GID,1GID: ,AIR DEFENSE TARGETS,AIR DEFENSE TARGETS,FALSE,FALSE
1GIE,1GIE: ,"AT NAV,INTEGR AND CRD ATNAVICS","AT NAV,INTEGR AND CRD ATNAVICS",FALSE,FALSE
1GIF,1GIF: ,AIR TRAFFIC CNTL COMM CONSOLE,AIR TRAFFIC CNTL COMM CONSOLE,FALSE,FALSE
1GIH,1GIH: ,AVIONICS,AVIONICS,FALSE,FALSE
1GII,1GII: ,BAT FLD CMBT ID SYS - NEAR TRM,BAT FLD CMBT ID SYS - NEAR TRM,FALSE,FALSE
1GIJ,1GIJ: ,COMBAT SUPPORT TRAINING SYSTEM,COMBAT SUPPORT TRAINING SYSTEM,FALSE,FALSE
1GIK,NULL,****** 1GIK,****** 1GIK,FALSE,FALSE
1GIL,1GIL: ,INTGR FAMILY OF TEST EQUIPMENT,INTGR FAMILY OF TEST EQUIPMENT,FALSE,FALSE
1GIM,NULL,****** 1GIM,****** 1GIM,FALSE,FALSE
1GIN,1GIN: ,TEST EQUIPMENT MOD TEMOD,TEST EQUIPMENT MOD TEMOD,FALSE,FALSE
1GKA,NULL,TD-660 MULTIPLEXER,TD-660 MULTIPLEXER,FALSE,FALSE
1GKB,NULL,AN/TCC-45 MULTIPLEXER SET,AN/TCC-45 MULTIPLEXER SET,FALSE,FALSE
1GMN,1GMN: ,AN/APX-72,AN/APX-72,FALSE,FALSE
1GNB,1GNB: ,AN/APR-39,AN/APR-39,FALSE,FALSE
1GNC,1GNC: ,AN/PPS-5 RADAR PORTABLE,AN/PPS-5 RADAR PORTABLE,FALSE,FALSE
1GND,NULL,AN/TPM-25,AN/TPM-25,FALSE,FALSE
1GNG,1GNG: ,AN/TPX-46 (MARK XIFF),AN/TPX-46 (MARK XIFF),FALSE,FALSE
1GNI,NULL,AN/TPX-50 (MARK XIFF ATCRBS),AN/TPX-50 (MARK XIFF ATCRBS),FALSE,FALSE
1GNJ,NULL,AN/PAS-7,AN/PAS-7,FALSE,FALSE
1GNK,NULL,AN/PPS-15,AN/PPS-15,FALSE,FALSE
1GNL,1GNL: ,AN/TPQ-36,AN/TPQ-36,FALSE,FALSE
1GNN,NULL,FWD AREA ALRT RDR-FAAR,FWD AREA ALRT RDR-FAAR,FALSE,FALSE
1GNP,1GNP: ,AN/TPQ-37,AN/TPQ-37,FALSE,FALSE
1GNR,NULL,AN/VPS-2 RADAR SET,AN/VPS-2 RADAR SET,FALSE,FALSE
1GNT,1GNT: ,MANEUVER CONTROL SYSTEM (MCS),MANEUVER CONTROL SYSTEM (MCS),FALSE,FALSE
1GNV,1GNV: ,"FWD AREA AD CMD,CTRL&INT SYS","FWD AREA AD CMD,CTRL&INT SYS",FALSE,FALSE
1GPA,NULL,****** 1GPA,****** 1GPA,FALSE,FALSE
1GPC,1GPC: ,AN/GRC-103 RADIO,AN/GRC-103 RADIO,FALSE,FALSE
1GPD,NULL,AN/PRC-90 SURVIVAL RADIO,AN/PRC-90 SURVIVAL RADIO,FALSE,FALSE
1GPE,NULL,AN/GRC-106 RADIO,AN/GRC-106 RADIO,FALSE,FALSE
1GPI,NULL,AN/ARQ-33 QUICK FIX,AN/ARQ-33 QUICK FIX,FALSE,FALSE
1GPJ,NULL,AN/PRC-25 RADIO,AN/PRC-25 RADIO,FALSE,FALSE
1GPN,NULL,AN/TSC-26 BASE RADIO,AN/TSC-26 BASE RADIO,FALSE,FALSE
1GPO,1GPO: ,AN/TRC-110 RADIO,AN/TRC-110 RADIO,FALSE,FALSE
1GPP,1GPP: ,AN/TRC-112 RADIO,AN/TRC-112 RADIO,FALSE,FALSE
1GPQ,NULL,AN/GRC-144 RADIO,AN/GRC-144 RADIO,FALSE,FALSE
1GPR,1GPR: ,AN/GRC-142/122 RADIO,AN/GRC-142/122 RADIO,FALSE,FALSE
1GPS,1GPS: ,AN/GRC-143 RADIO,AN/GRC-143 RADIO,FALSE,FALSE
1GPT,1GPT: ,AN/VRC-12 RADIO,AN/VRC-12 RADIO,FALSE,FALSE
1GPU,NULL,AN/PRC-25 PRC-77 RADIO SET,AN/PRC-25 PRC-77 RADIO SET,FALSE,FALSE
1GPW,NULL,AN/TRN-30 V-1,AN/TRN-30 V-1,FALSE,FALSE
1GRB,NULL,AN/GRC-171 TRANSCEIVER,AN/GRC-171 TRANSCEIVER,FALSE,FALSE
1GRC,NULL,AN/FRC-155 162,AN/FRC-155 162,FALSE,FALSE
1GRD,NULL,AN/PRC-70 RADIO SET,AN/PRC-70 RADIO SET,FALSE,FALSE
1GRE,NULL,AN/PRC-77 RADIO SET,AN/PRC-77 RADIO SET,FALSE,FALSE
1GRF,NULL,AN/GRA-114,AN/GRA-114,FALSE,FALSE
1GRH,NULL,AN/TRS-2,AN/TRS-2,FALSE,FALSE
1GRI,NULL,AN/TSC-99 HF RADIO,AN/TSC-99 HF RADIO,FALSE,FALSE
1GRJ,NULL,AN/TRQ-32 RADIO,AN/TRQ-32 RADIO,FALSE,FALSE
1GRU,1GRU: ,SINCGARS,SINCGARS,FALSE,FALSE
1GRV,1GRV: ,MOBILE SUBSCRIBER EQUIP,MOBILE SUBSCRIBER EQUIP,FALSE,FALSE
1GVA,NULL,STARCOM(OTHER),STARCOM(OTHER),FALSE,FALSE
1GVC,1GVC: ,DCS TRANSMISSION FACILITIES,DCS TRANSMISSION FACILITIES,FALSE,FALSE
1GVD,1GVD: ,AUTODIN,AUTODIN,FALSE,FALSE
